epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8164.97,1.68441,3.15104,1.67977,0.6423,0.29073,0.28804,0.1917,1.49816,3.87198,1.48578,0.0033328,0.0033328,0.0033328
2,16448.2,1.54598,2.24124,1.50541,0.68906,0.33525,0.34018,0.21657,1.45214,2.69487,1.40638,0.00653414,0.00653414,0.00653414
3,24612.4,1.56318,1.97335,1.49805,0.69466,0.36272,0.35963,0.2275,1.4453,2.15689,1.38158,0.00960349,0.00960349,0.00960349
4,32858.9,1.54918,1.8126,1.49194,0.71402,0.3787,0.39498,0.26041,1.3604,1.74433,1.32772,0.009406,0.009406,0.009406
5,41068.9,1.47051,1.61428,1.43416,0.75215,0.40459,0.42439,0.28032,1.28566,1.53728,1.26579,0.009208,0.009208,0.009208
6,48630.3,1.41804,1.49714,1.39939,0.7642,0.43028,0.44915,0.2985,1.23619,1.41433,1.25035,0.00901,0.00901,0.00901
7,55969.7,1.37913,1.42397,1.37606,0.77801,0.42419,0.45705,0.31056,1.18869,1.29382,1.22513,0.008812,0.008812,0.008812
8,63309,1.34696,1.36431,1.35633,0.77781,0.4419,0.47177,0.32333,1.15733,1.28478,1.20191,0.008614,0.008614,0.008614
9,70666,1.31442,1.3065,1.33554,0.78728,0.44918,0.50453,0.35363,1.12853,1.20488,1.18226,0.008416,0.008416,0.008416
10,78402.2,1.29434,1.2655,1.31904,0.81127,0.45375,0.51856,0.36091,1.10605,1.15697,1.16855,0.008218,0.008218,0.008218
11,85968.1,1.27036,1.22876,1.30666,0.76338,0.50206,0.51459,0.3575,1.08014,1.17391,1.14721,0.00802,0.00802,0.00802
12,93444.8,1.25398,1.19655,1.29621,0.80117,0.48062,0.52074,0.36384,1.06248,1.09711,1.13734,0.007822,0.007822,0.007822
