epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,201.428,1.22225,2.43431,1.35058,0.7221,0.44749,0.444,0.31617,0.90474,1.22968,1.14984,0.0033312,0.0033312,0.0033312
2,388.899,1.11164,1.54455,1.26449,0.76816,0.44794,0.47687,0.32274,0.99048,1.27487,1.21858,0.00653258,0.00653258,0.00653258
3,572.186,1.13837,1.36632,1.26547,0.77163,0.45658,0.48291,0.33237,0.95404,1.14602,1.14048,0.00960195,0.00960195,0.00960195
4,755.16,1.13298,1.22364,1.25988,0.7878,0.46338,0.50954,0.35487,0.92303,1.06353,1.12214,0.009406,0.009406,0.009406
5,937.639,1.08442,1.10825,1.23207,0.81962,0.49235,0.54069,0.37675,0.90222,0.97098,1.11893,0.009208,0.009208,0.009208
6,1118.91,1.04622,1.03469,1.21168,0.8309,0.49897,0.5461,0.3896,0.87383,0.9111,1.08592,0.00901,0.00901,0.00901
7,1300.23,1.02154,0.98359,1.19636,0.84332,0.51875,0.57479,0.41439,0.82788,0.83171,1.06319,0.008812,0.008812,0.008812
8,1482.06,1.00034,0.94247,1.18217,0.83899,0.53224,0.58554,0.43291,0.81441,0.82227,1.06102,0.008614,0.008614,0.008614
9,1663.5,0.98173,0.91051,1.16924,0.77744,0.55232,0.58836,0.43358,0.8094,0.77304,1.06258,0.008416,0.008416,0.008416
10,1844.55,0.97178,0.88632,1.16242,0.8265,0.56735,0.60871,0.4521,0.78878,0.7514,1.04353,0.008218,0.008218,0.008218
11,2025.56,0.95993,0.86638,1.15658,0.75685,0.5704,0.60796,0.45642,0.76828,0.73316,1.02705,0.00802,0.00802,0.00802
12,2205.9,0.94425,0.83613,1.14494,0.80961,0.56791,0.62027,0.46132,0.77365,0.71566,1.03135,0.007822,0.007822,0.007822
13,2387.12,0.93875,0.82948,1.14199,0.80172,0.58484,0.6172,0.4602,0.76779,0.72612,1.02755,0.007624,0.007624,0.007624
14,2568.48,0.92787,0.81271,1.13556,0.76678,0.58943,0.64276,0.48414,0.76276,0.67525,1.01965,0.007426,0.007426,0.007426
15,2749.45,0.9179,0.79213,1.12778,0.76919,0.58229,0.63082,0.47522,0.75672,0.70265,1.01656,0.007228,0.007228,0.007228
16,2929.63,0.91338,0.7822,1.12486,0.77345,0.58567,0.63198,0.47948,0.75114,0.65764,1.01882,0.00703,0.00703,0.00703
17,3110.57,0.90569,0.77137,1.12231,0.82108,0.58758,0.66475,0.50555,0.7493,0.65451,1.01891,0.006832,0.006832,0.006832
18,3290.61,0.90372,0.76186,1.12079,0.72754,0.62668,0.65377,0.49793,0.74506,0.64466,1.01713,0.006634,0.006634,0.006634
19,3471.15,0.89436,0.74953,1.11191,0.77003,0.59209,0.65647,0.49935,0.73819,0.62415,1.00631,0.006436,0.006436,0.006436
20,3651.2,0.88821,0.74231,1.11119,0.75999,0.63562,0.6819,0.52024,0.73303,0.62293,1.00604,0.006238,0.006238,0.006238
21,3830.84,0.88155,0.72914,1.10775,0.75548,0.64713,0.69207,0.52425,0.73367,0.63038,1.0113,0.00604,0.00604,0.00604
22,4011.01,0.87795,0.72263,1.10313,0.78388,0.62108,0.68778,0.5284,0.73695,0.63311,1.01008,0.005842,0.005842,0.005842
23,4191.08,0.87261,0.71147,1.10019,0.82145,0.62719,0.70003,0.53575,0.72806,0.60756,1.00352,0.005644,0.005644,0.005644
